country,city,occupation,field,years_of_experience,salary,employment_type,education_level,gender,company_size,year,month
United Arab Emirates,Dubai,HR Analyst,Human Resources,10,161781,full_time,Bachelor,Female,Large,2022,5
Italy,Milan,Marketing Specialist,Marketing,10,81179,full_time,High School,Male,Small,2025,7
Switzerland,Zurich,AI Engineer,Technology,8,226778,part_time,Bachelor,Other,Small,2022,10
Ireland,Dublin,AI Engineer,Technology,11,181404,freelance,High School,Female,Medium,2022,4
France,Paris,Business Analyst,Business,14,223648,full_time,Master,Male,Small,2025,6
India,Bangalore,Financial Analyst,Finance,11,76476,freelance,Master,Other,Small,2023,11
India,Bangalore,Software Engineer,Technology,1,18763,internship,Bachelor,Other,Small,2022,7
New Zealand,Auckland,Cloud Engineer,Technology,10,227475,freelance,Bachelor,Female,Large,2023,4
Italy,Milan,HR Analyst,Human Resources,14,144472,part_time,Master,Female,Medium,2022,2
Spain,Madrid,AI Engineer,Technology,9,366098,full_time,PhD,Male,Enterprise,2024,4
United States,San Francisco,Data Scientist,Technology,3,286410,full_time,PhD,Female,Small,2023,1
Brazil,Sao Paulo,Data Analyst,Technology,21,152306,part_time,Master,Male,Large,2025,3
New Zealand,Auckland,Cloud Engineer,Technology,11,191711,freelance,Master,Male,Medium,2022,10
United States,San Francisco,AI Engineer,Technology,15,357907,internship,PhD,Male,Large,2023,10
New Zealand,Auckland,Software Engineer,Technology,20,330293,part_time,Master,Other,Enterprise,2023,4
South Korea,Seoul,Product Manager,Technology,19,205455,work_from_home,Master,Male,Small,2023,11
Canada,Toronto,Data Analyst,Technology,5,188501,freelance,Master,Female,Large,2022,4
Italy,Milan,Business Analyst,Business,9,215925,work_from_home,PhD,Female,Small,2025,10
India,Bangalore,Operations Manager,Operations,5,83890,internship,Master,Male,Large,2025,9
Mexico,Mexico City,Data Analyst,Technology,11,62478,part_time,High School,Other,Small,2023,10
New Zealand,Auckland,Product Manager,Technology,16,279040,work_from_home,PhD,Female,Small,2025,4
Ireland,Dublin,UX Designer,Design,17,219017,full_time,High School,Male,Enterprise,2022,3
Brazil,Sao Paulo,Business Analyst,Business,1,81004,work_from_home,Master,Female,Small,2022,2
Sweden,Stockholm,Software Engineer,Technology,0,113850,work_from_home,High School,Female,Large,2024,2
South Korea,Seoul,Financial Analyst,Finance,9,182069,freelance,PhD,Male,Small,2022,1
South Korea,Seoul,UX Designer,Design,18,208659,freelance,Bachelor,Other,Large,2022,4
Canada,Toronto,Business Analyst,Business,17,226001,part_time,Master,Male,Medium,2024,12
France,Paris,Operations Manager,Operations,7,185432,full_time,PhD,Female,Small,2024,7
Netherlands,Amsterdam,Software Engineer,Technology,19,356365,part_time,Master,Female,Enterprise,2024,2
New Zealand,Auckland,AI Engineer,Technology,11,230033,full_time,Master,Male,Medium,2023,7
United Kingdom,London,UX Designer,Design,10,156316,freelance,High School,Other,Large,2023,11
New Zealand,Auckland,Software Engineer,Technology,17,344042,part_time,PhD,Female,Large,2025,9
Germany,Berlin,AI Engineer,Technology,1,187946,work_from_home,PhD,Other,Small,2025,7
Brazil,Sao Paulo,Business Analyst,Business,12,175432,internship,PhD,Male,Large,2022,1
France,Paris,Cloud Engineer,Technology,2,209221,part_time,PhD,Other,Medium,2025,11
France,Paris,Data Analyst,Technology,20,198469,part_time,High School,Male,Enterprise,2024,10
Singapore,Singapore,Cloud Engineer,Technology,15,216128,work_from_home,High School,Female,Small,2025,6
United Kingdom,London,HR Analyst,Human Resources,24,181394,internship,High School,Male,Large,2024,11
France,Paris,Operations Manager,Operations,9,198891,internship,Bachelor,Male,Large,2022,12
Germany,Berlin,Product Manager,Technology,18,262194,internship,Bachelor,Female,Small,2024,5
United States,New York,Financial Analyst,Finance,8,370000,work_from_home,Master,Other,Large,2024,10
France,Paris,Software Engineer,Technology,5,263628,part_time,Master,Male,Large,2023,8
South Korea,Seoul,Cloud Engineer,Technology,25,267342,work_from_home,Master,Female,Medium,2024,12
South Korea,Seoul,UX Designer,Design,21,184216,full_time,Bachelor,Other,Medium,2023,12
Netherlands,Amsterdam,UX Designer,Design,18,196515,freelance,Bachelor,Other,Small,2024,9
Spain,Madrid,Financial Analyst,Finance,2,172981,freelance,Master,Female,Large,2022,2
Germany,Berlin,AI Engineer,Technology,23,297585,freelance,Master,Other,Small,2024,11
Sweden,Stockholm,Data Analyst,Technology,10,191617,work_from_home,High School,Male,Enterprise,2023,10
South Korea,Seoul,Financial Analyst,Finance,15,267113,work_from_home,Master,Other,Large,2025,10
Japan,Tokyo,Operations Manager,Operations,13,260290,freelance,Master,Other,Enterprise,2023,11
Brazil,Sao Paulo,Operations Manager,Operations,8,169672,freelance,Master,Male,Enterprise,2024,9
India,Bangalore,Financial Analyst,Finance,25,95524,full_time,Master,Male,Large,2025,9
South Africa,Cape Town,Operations Manager,Operations,22,215168,internship,PhD,Female,Large,2022,11
Canada,Toronto,UX Designer,Design,3,211325,part_time,PhD,Other,Large,2022,8
Sweden,Stockholm,Data Analyst,Technology,4,202593,freelance,PhD,Male,Large,2024,9
South Africa,Cape Town,Cloud Engineer,Technology,12,181067,full_time,Bachelor,Male,Enterprise,2023,9
United States,New York,Financial Analyst,Finance,7,231268,freelance,Master,Other,Medium,2022,8
United Arab Emirates,Dubai,HR Analyst,Human Resources,5,173333,internship,PhD,Male,Small,2025,3
South Korea,Seoul,Financial Analyst,Finance,19,259720,freelance,PhD,Other,Large,2022,8
United Kingdom,London,Financial Analyst,Finance,4,267997,work_from_home,PhD,Other,Large,2023,5
Australia,Sydney,Cloud Engineer,Technology,7,301000,work_from_home,PhD,Female,Medium,2022,4
United States,San Francisco,Software Engineer,Technology,0,186916,full_time,Bachelor,Other,Enterprise,2024,1
Sweden,Stockholm,Product Manager,Technology,8,214333,freelance,High School,Other,Enterprise,2023,12
Canada,Toronto,UX Designer,Design,25,180622,freelance,Master,Male,Small,2023,7
Netherlands,Amsterdam,UX Designer,Design,20,353634,part_time,PhD,Male,Enterprise,2023,8
United Kingdom,London,Financial Analyst,Finance,6,181799,internship,Bachelor,Male,Enterprise,2024,1
Australia,Sydney,Operations Manager,Operations,5,176846,work_from_home,PhD,Other,Small,2023,2
Canada,Toronto,Marketing Specialist,Marketing,7,114922,full_time,Bachelor,Other,Medium,2022,9
India,Bangalore,Data Analyst,Technology,11,84095,internship,High School,Male,Enterprise,2025,3
Ireland,Dublin,Cloud Engineer,Technology,15,368801,work_from_home,PhD,Female,Enterprise,2024,2
Italy,Milan,AI Engineer,Technology,1,138709,full_time,High School,Male,Large,2024,4
United States,San Francisco,Software Engineer,Technology,15,238944,work_from_home,High School,Male,Medium,2025,1
United Arab Emirates,Dubai,Product Manager,Technology,19,370000,freelance,PhD,Other,Large,2024,10
Italy,Milan,Product Manager,Technology,15,215019,part_time,Master,Other,Small,2025,10
United States,New York,Financial Analyst,Finance,14,235753,part_time,Master,Male,Small,2023,3
India,Bangalore,Financial Analyst,Finance,16,71458,internship,High School,Female,Medium,2022,5
Mexico,Mexico City,AI Engineer,Technology,13,157525,part_time,High School,Male,Enterprise,2025,11
United Kingdom,London,UX Designer,Design,18,337861,freelance,PhD,Male,Large,2024,3
Germany,Berlin,HR Analyst,Human Resources,2,100685,full_time,High School,Female,Large,2023,12
South Africa,Cape Town,Business Analyst,Business,11,144229,part_time,PhD,Female,Enterprise,2024,1
Australia,Sydney,AI Engineer,Technology,9,306861,full_time,PhD,Male,Small,2024,7
Germany,Berlin,Software Engineer,Technology,17,287739,part_time,Master,Female,Small,2024,11
India,Bangalore,Operations Manager,Operations,13,79630,full_time,High School,Other,Enterprise,2022,3
Mexico,Mexico City,Cloud Engineer,Technology,17,202767,internship,Bachelor,Female,Enterprise,2023,1
Brazil,Sao Paulo,Financial Analyst,Finance,20,146435,freelance,Bachelor,Male,Medium,2025,5
Italy,Milan,Data Scientist,Technology,24,370000,internship,PhD,Other,Large,2025,3
Brazil,Sao Paulo,Business Analyst,Business,24,158670,full_time,PhD,Other,Medium,2024,6
New Zealand,Auckland,Data Analyst,Technology,24,244709,freelance,PhD,Female,Large,2022,11
Japan,Tokyo,HR Analyst,Human Resources,6,140027,part_time,High School,Male,Enterprise,2024,6
Singapore,Singapore,Data Analyst,Technology,1,140312,full_time,Master,Other,Small,2022,12
New Zealand,Auckland,Marketing Specialist,Marketing,9,119807,internship,High School,Female,Enterprise,2023,6
Germany,Berlin,UX Designer,Design,23,215094,internship,High School,Other,Large,2025,8
Germany,Berlin,Software Engineer,Technology,5,370000,work_from_home,PhD,Male,Large,2025,3
Australia,Sydney,UX Designer,Design,9,150258,full_time,Master,Other,Medium,2024,11
Canada,Toronto,Data Analyst,Technology,13,196689,work_from_home,High School,Female,Enterprise,2023,11
South Korea,Seoul,Software Engineer,Technology,10,260287,part_time,PhD,Female,Small,2023,1
India,Bangalore,Financial Analyst,Finance,3,81167,full_time,PhD,Other,Enterprise,2024,6
Switzerland,Zurich,Marketing Specialist,Marketing,4,201631,freelance,Bachelor,Female,Large,2024,2
France,Paris,AI Engineer,Technology,9,181708,part_time,High School,Other,Large,2022,2
Spain,Madrid,Operations Manager,Operations,23,243608,full_time,Master,Female,Medium,2025,4
France,Paris,Product Manager,Technology,12,272092,work_from_home,PhD,Other,Small,2024,10
Canada,Toronto,HR Analyst,Human Resources,10,140343,work_from_home,High School,Male,Enterprise,2023,12
South Africa,Cape Town,Operations Manager,Operations,8,147365,internship,Master,Male,Large,2024,11
Japan,Tokyo,Operations Manager,Operations,12,267518,work_from_home,Master,Other,Enterprise,2023,9
France,Paris,Operations Manager,Operations,1,191005,freelance,Bachelor,Female,Enterprise,2025,1
Singapore,Singapore,Software Engineer,Technology,4,164077,freelance,High School,Male,Medium,2023,2
South Africa,Cape Town,Cloud Engineer,Technology,22,171546,internship,PhD,Male,Small,2025,12
United Arab Emirates,Dubai,Cloud Engineer,Technology,5,286600,work_from_home,PhD,Female,Large,2022,7
New Zealand,Auckland,Software Engineer,Technology,25,200307,full_time,High School,Other,Enterprise,2024,5
Australia,Sydney,Business Analyst,Business,15,228411,freelance,PhD,Male,Small,2024,8
Germany,Berlin,Data Analyst,Technology,18,198572,work_from_home,Bachelor,Other,Large,2024,9
France,Paris,Marketing Specialist,Marketing,6,207335,full_time,PhD,Male,Large,2024,5
Japan,Tokyo,Data Scientist,Technology,20,227950,part_time,Master,Male,Small,2024,4
Spain,Madrid,HR Analyst,Human Resources,16,115840,internship,High School,Male,Medium,2024,5
Netherlands,Amsterdam,Data Analyst,Technology,7,208735,work_from_home,Master,Female,Enterprise,2023,1
Netherlands,Amsterdam,Data Analyst,Technology,14,151653,part_time,Bachelor,Other,Medium,2024,9
Australia,Sydney,Product Manager,Technology,9,327598,work_from_home,PhD,Female,Medium,2023,10
Canada,Toronto,Data Analyst,Technology,12,278484,full_time,PhD,Other,Enterprise,2022,10
Sweden,Stockholm,Data Analyst,Technology,8,243739,work_from_home,PhD,Other,Enterprise,2022,8
South Korea,Seoul,UX Designer,Design,16,191680,internship,PhD,Female,Small,2024,11
United Arab Emirates,Dubai,HR Analyst,Human Resources,10,164289,work_from_home,PhD,Female,Enterprise,2022,10
Canada,Toronto,UX Designer,Design,20,266260,freelance,Bachelor,Female,Medium,2025,6
Ireland,Dublin,UX Designer,Design,21,231693,internship,Bachelor,Female,Large,2022,3
Italy,Milan,AI Engineer,Technology,20,269558,work_from_home,Bachelor,Female,Large,2023,5
Germany,Berlin,Marketing Specialist,Marketing,20,206900,part_time,Master,Other,Small,2025,5
Sweden,Stockholm,Data Analyst,Technology,3,113752,internship,High School,Other,Enterprise,2022,5
South Africa,Cape Town,Data Analyst,Technology,24,108674,full_time,High School,Female,Large,2025,6
Italy,Milan,Software Engineer,Technology,2,166099,part_time,Master,Male,Medium,2024,10
United Kingdom,London,HR Analyst,Human Resources,17,89143,internship,High School,Female,Small,2025,3
United Kingdom,London,UX Designer,Design,24,224293,part_time,Master,Other,Small,2024,4
Sweden,Stockholm,UX Designer,Design,6,194035,work_from_home,Bachelor,Male,Enterprise,2023,12
Canada,Toronto,UX Designer,Design,4,130719,full_time,Bachelor,Male,Small,2023,7
Singapore,Singapore,Financial Analyst,Finance,21,305215,part_time,Bachelor,Male,Large,2024,11
Australia,Sydney,Financial Analyst,Finance,19,176710,full_time,High School,Female,Small,2023,1
Germany,Berlin,Marketing Specialist,Marketing,16,237429,freelance,PhD,Other,Small,2024,11
Netherlands,Amsterdam,Marketing Specialist,Marketing,8,102264,full_time,Bachelor,Male,Small,2023,2
Canada,Toronto,Operations Manager,Operations,11,219009,part_time,Bachelor,Other,Small,2023,2
Italy,Milan,Product Manager,Technology,12,174386,work_from_home,High School,Other,Medium,2022,1
Netherlands,Amsterdam,UX Designer,Design,12,249061,internship,Master,Male,Medium,2025,5
Australia,Sydney,Financial Analyst,Finance,12,174434,part_time,Bachelor,Female,Medium,2022,10
United Kingdom,London,Business Analyst,Business,10,201049,internship,High School,Other,Large,2025,2
United Arab Emirates,Dubai,Marketing Specialist,Marketing,16,237779,work_from_home,PhD,Male,Small,2022,11
Italy,Milan,AI Engineer,Technology,14,174045,full_time,High School,Other,Small,2023,5
United Kingdom,London,Marketing Specialist,Marketing,5,173762,work_from_home,Bachelor,Other,Large,2025,2
United States,New York,UX Designer,Design,4,282635,full_time,Bachelor,Female,Enterprise,2025,11
United Arab Emirates,Dubai,Marketing Specialist,Marketing,1,144580,part_time,Master,Male,Medium,2023,9
Ireland,Dublin,Software Engineer,Technology,1,158385,full_time,PhD,Female,Small,2023,9
Switzerland,Zurich,Financial Analyst,Finance,5,202063,part_time,High School,Female,Medium,2023,7
Australia,Sydney,Data Scientist,Technology,11,264246,internship,Bachelor,Female,Medium,2023,7
Canada,Toronto,Marketing Specialist,Marketing,5,155781,internship,Master,Other,Enterprise,2023,4
South Korea,Seoul,Data Scientist,Technology,16,197886,internship,Master,Male,Small,2024,4
Netherlands,Amsterdam,Data Analyst,Technology,11,233593,full_time,Bachelor,Female,Enterprise,2023,11
United Arab Emirates,Dubai,Data Scientist,Technology,24,338497,part_time,High School,Other,Enterprise,2024,6
South Africa,Cape Town,Software Engineer,Technology,10,78334,full_time,High School,Other,Small,2024,5
India,Bangalore,Data Analyst,Technology,11,78221,internship,Master,Other,Large,2024,10
Sweden,Stockholm,Cloud Engineer,Technology,9,370000,internship,PhD,Other,Enterprise,2025,11
Spain,Madrid,Data Analyst,Technology,0,22317,internship,Bachelor,Other,Enterprise,2024,11
United States,New York,HR Analyst,Human Resources,7,252709,work_from_home,PhD,Female,Large,2024,8
France,Paris,Software Engineer,Technology,14,253914,work_from_home,High School,Other,Enterprise,2023,12
Canada,Toronto,AI Engineer,Technology,21,238584,part_time,Bachelor,Male,Small,2023,6
Mexico,Mexico City,UX Designer,Design,17,154238,full_time,PhD,Other,Enterprise,2022,5
South Africa,Cape Town,UX Designer,Design,24,123755,freelance,Bachelor,Other,Large,2025,2
Singapore,Singapore,Data Scientist,Technology,0,96683,work_from_home,High School,Male,Small,2025,2
Switzerland,Zurich,Business Analyst,Business,16,237192,work_from_home,Bachelor,Other,Medium,2022,10
South Africa,Cape Town,UX Designer,Design,16,125151,part_time,PhD,Male,Small,2024,9
Spain,Madrid,HR Analyst,Human Resources,5,174902,internship,PhD,Other,Enterprise,2025,3
United Arab Emirates,Dubai,Data Scientist,Technology,4,294477,full_time,Bachelor,Male,Enterprise,2022,5
Netherlands,Amsterdam,AI Engineer,Technology,8,232198,work_from_home,Bachelor,Other,Medium,2025,1
Mexico,Mexico City,Marketing Specialist,Marketing,6,97418,freelance,High School,Other,Enterprise,2022,4
Canada,Toronto,Business Analyst,Business,11,197284,work_from_home,High School,Male,Enterprise,2025,11
Sweden,Stockholm,Operations Manager,Operations,20,259281,part_time,Master,Female,Large,2023,2
France,Paris,HR Analyst,Human Resources,9,181725,work_from_home,Master,Male,Enterprise,2022,9
Spain,Madrid,Financial Analyst,Finance,7,128526,part_time,Bachelor,Other,Medium,2022,10
Switzerland,Zurich,Financial Analyst,Finance,14,236487,full_time,Bachelor,Female,Small,2022,4
United States,San Francisco,Operations Manager,Operations,25,284974,freelance,High School,Other,Medium,2022,3
United States,New York,Financial Analyst,Finance,12,325582,freelance,Bachelor,Other,Enterprise,2024,12
Sweden,Stockholm,Software Engineer,Technology,24,242333,internship,Master,Male,Enterprise,2022,7
Australia,Sydney,Cloud Engineer,Technology,3,181836,work_from_home,High School,Other,Small,2024,7
New Zealand,Auckland,Operations Manager,Operations,4,123303,work_from_home,High School,Other,Medium,2025,2
France,Paris,Business Analyst,Business,19,205807,part_time,Bachelor,Female,Large,2023,9
India,Bangalore,Operations Manager,Operations,13,63763,full_time,Bachelor,Female,Small,2022,1
India,Bangalore,Financial Analyst,Finance,22,86474,part_time,Bachelor,Female,Enterprise,2024,6
France,Paris,Software Engineer,Technology,20,301125,internship,Master,Male,Enterprise,2024,8
South Africa,Cape Town,Product Manager,Technology,3,136451,work_from_home,High School,Other,Enterprise,2024,3
Switzerland,Zurich,Business Analyst,Business,1,152242,part_time,High School,Male,Medium,2024,8
Singapore,Singapore,Software Engineer,Technology,24,299973,work_from_home,High School,Female,Enterprise,2024,10
United Arab Emirates,Dubai,Cloud Engineer,Technology,24,367471,part_time,Master,Male,Large,2023,9
India,Bangalore,Marketing Specialist,Marketing,5,44805,internship,Bachelor,Female,Small,2024,7
Sweden,Stockholm,AI Engineer,Technology,21,370000,work_from_home,Master,Male,Enterprise,2025,3
Brazil,Sao Paulo,UX Designer,Design,11,96794,full_time,High School,Other,Medium,2025,2
Switzerland,Zurich,Cloud Engineer,Technology,15,349898,work_from_home,Master,Other,Enterprise,2022,5
Sweden,Stockholm,Data Scientist,Technology,20,262621,part_time,Master,Other,Large,2023,8
South Africa,Cape Town,Cloud Engineer,Technology,21,207078,freelance,Master,Male,Enterprise,2025,7
Germany,Berlin,Marketing Specialist,Marketing,7,186206,full_time,Bachelor,Other,Enterprise,2024,7
Australia,Sydney,AI Engineer,Technology,2,206480,full_time,Master,Male,Medium,2024,11
South Africa,Cape Town,Operations Manager,Operations,11,108467,internship,Master,Other,Small,2024,12
Singapore,Singapore,HR Analyst,Human Resources,18,207941,full_time,Master,Other,Small,2024,9
Germany,Berlin,Cloud Engineer,Technology,19,222362,freelance,High School,Other,Small,2022,5
South Korea,Seoul,Cloud Engineer,Technology,10,280011,part_time,PhD,Male,Large,2022,10
Japan,Tokyo,Product Manager,Technology,3,268025,work_from_home,PhD,Male,Large,2025,8
Canada,Toronto,Data Scientist,Technology,6,214462,part_time,Bachelor,Female,Large,2022,7
Italy,Milan,Business Analyst,Business,21,134174,internship,High School,Male,Small,2025,11
New Zealand,Auckland,HR Analyst,Human Resources,1,82485,part_time,Master,Male,Small,2022,8
Switzerland,Zurich,AI Engineer,Technology,19,370000,work_from_home,PhD,Female,Large,2024,9
South Korea,Seoul,AI Engineer,Technology,1,189990,freelance,PhD,Other,Large,2025,9
Switzerland,Zurich,Marketing Specialist,Marketing,2,179465,internship,Master,Male,Large,2025,6
Canada,Toronto,Data Scientist,Technology,24,178576,internship,High School,Male,Small,2024,8
India,Bangalore,Financial Analyst,Finance,19,63920,internship,High School,Male,Small,2024,10
Singapore,Singapore,Data Analyst,Technology,24,307820,part_time,Bachelor,Female,Enterprise,2024,8
Singapore,Singapore,Product Manager,Technology,6,352462,full_time,Bachelor,Female,Large,2024,11
Canada,Toronto,Data Scientist,Technology,24,307156,full_time,PhD,Female,Enterprise,2025,9
New Zealand,Auckland,HR Analyst,Human Resources,22,200149,work_from_home,PhD,Male,Enterprise,2024,4
Australia,Sydney,Operations Manager,Operations,21,266392,work_from_home,Bachelor,Male,Large,2024,4
South Africa,Cape Town,Product Manager,Technology,7,94338,freelance,Master,Female,Small,2023,1
Australia,Sydney,AI Engineer,Technology,17,181205,internship,Bachelor,Male,Small,2022,3
India,Bangalore,Software Engineer,Technology,19,117492,freelance,Master,Other,Medium,2025,1
South Africa,Cape Town,Product Manager,Technology,6,101788,part_time,Bachelor,Male,Medium,2024,10
United States,New York,Financial Analyst,Finance,19,206702,full_time,High School,Other,Large,2023,6
Brazil,Sao Paulo,Business Analyst,Business,11,91214,work_from_home,High School,Female,Medium,2022,12
United States,San Francisco,Business Analyst,Business,7,165218,work_from_home,Bachelor,Other,Small,2022,4
Netherlands,Amsterdam,Cloud Engineer,Technology,3,151285,part_time,High School,Female,Small,2024,3
Sweden,Stockholm,Marketing Specialist,Marketing,7,136951,work_from_home,High School,Male,Enterprise,2025,3
Germany,Berlin,Data Analyst,Technology,23,171151,internship,Bachelor,Male,Medium,2023,7
United Kingdom,London,Marketing Specialist,Marketing,4,127724,part_time,High School,Female,Enterprise,2023,10
Singapore,Singapore,Operations Manager,Operations,20,189795,part_time,High School,Other,Small,2024,1
United Arab Emirates,Dubai,Marketing Specialist,Marketing,10,278804,full_time,Master,Other,Enterprise,2022,3
United Kingdom,London,Business Analyst,Business,3,176215,full_time,Bachelor,Other,Large,2025,6
Italy,Milan,Product Manager,Technology,11,186388,freelance,High School,Male,Medium,2023,7
South Africa,Cape Town,UX Designer,Design,25,124694,work_from_home,Master,Other,Medium,2022,7
Canada,Toronto,AI Engineer,Technology,12,210828,part_time,High School,Female,Enterprise,2022,10
Sweden,Stockholm,Business Analyst,Business,3,109526,freelance,Master,Male,Small,2022,9
Mexico,Mexico City,Product Manager,Technology,14,171642,part_time,High School,Male,Large,2024,9
United States,New York,Operations Manager,Operations,6,157028,full_time,High School,Other,Small,2022,4
Netherlands,Amsterdam,Data Analyst,Technology,20,183384,freelance,Bachelor,Female,Small,2022,5
United Arab Emirates,Dubai,HR Analyst,Human Resources,0,20965,internship,High School,Female,Small,2024,4
Japan,Tokyo,Software Engineer,Technology,10,365359,work_from_home,High School,Other,Enterprise,2023,2
United States,New York,UX Designer,Design,13,267532,internship,Bachelor,Other,Large,2023,3
Japan,Tokyo,Business Analyst,Business,4,134187,internship,Bachelor,Other,Small,2022,3
Italy,Milan,Financial Analyst,Finance,21,168326,full_time,Bachelor,Other,Small,2022,12
Brazil,Sao Paulo,Data Scientist,Technology,9,195307,full_time,Master,Female,Enterprise,2024,12
Singapore,Singapore,Business Analyst,Business,20,145586,full_time,High School,Female,Small,2022,3
South Korea,Seoul,Financial Analyst,Finance,12,212891,work_from_home,Bachelor,Male,Enterprise,2025,2
France,Paris,Product Manager,Technology,18,195799,internship,High School,Male,Small,2024,11
Brazil,Sao Paulo,Marketing Specialist,Marketing,3,66612,part_time,Bachelor,Male,Small,2023,7
Mexico,Mexico City,Financial Analyst,Finance,13,93973,full_time,Bachelor,Other,Small,2025,12
United States,New York,Business Analyst,Business,13,215168,internship,High School,Female,Large,2025,2
France,Paris,Business Analyst,Business,17,184000,internship,Bachelor,Other,Medium,2025,2
New Zealand,Auckland,UX Designer,Design,9,370000,full_time,Master,Other,Enterprise,2025,4
France,Paris,UX Designer,Design,16,154875,part_time,High School,Female,Medium,2022,12
Australia,Sydney,Cloud Engineer,Technology,25,363146,full_time,Master,Other,Enterprise,2023,2
Italy,Milan,Cloud Engineer,Technology,19,212580,freelance,High School,Male,Enterprise,2025,12
